tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1955158811112575116',"・ヒップヒンジ１０回×３セット
・スプリットスクワット１５回×３セット
・スクワット１５回×３セット
・ワイドスクワット１５回×３セット
・ルーマニアンデッドリフト１０回×３セット

やっぱりテンション上がると下半身に行きがち🚵

ダンベルフライとロウ でストレッチも追加だな🌊
#いきづらい部",ja,Tweet,51,900,167,7,45177,2025-08-12 15:46:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1955157553404408085',"そうか！

考えてみたら
しばらく筋トレもあんまりできなくなるかも？！

今のうちにやり貯めしておこうかな

っていうわけにはなかなかいかないのが
筋トレなんだけど🏔
#いきづらい部",ja,Tweet,9,687,100,1,26339,2025-08-12 15:41:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1955156797775298828',"まぁイベントが本番だしね！

みんなにリアルで会えるのが楽しみ🏔

ただ新幹線で２時間半座ってるのが
長いなって思うから
狭い座席でもできるストレッチを
考えておこうと思う🌊

#いきづらい部",ja,Tweet,7,757,114,1,29260,2025-08-12 15:38:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1955156042956018119',"麻衣と花火に止められた🌊
調べてみたら４日くらいはかかるみたいだし

真緑ちゃんには褒められたけど🚵

#いきづらい部",ja,Tweet,12,1103,198,6,73505,2025-08-12 15:35:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1955155288002077117',"明日から大阪！

最初はさ、夏休みだし
ちょうどいい機会だから
移動は自転車でトライしてみようかな
なんて思ったんだけど。。。

#いきづらい部",ja,Tweet,11,1108,253,2,53493,2025-08-12 15:32:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1952332437620752549',"私もこんな人になりたいって思った🚵

みんなに会ったら
沼津のいろんな話を
しようと思う

#いきづらい部",ja,Tweet,14,1469,285,7,67938,2025-08-04 20:35:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1952331682855489976',"水族館の帰りに通りがかった小さな海水浴場で
見つけた海の家のかき氷🍧

食べながら弟が海に飛ばしてしまった帽子を
拾ってくれたジェットスキーのお姉さんが
「お祭り楽しかった？」
って聞いてくれた笑顔がかっこよくて

#いきづらい部",ja,Tweet,108,2411,851,26,212668,2025-08-04 20:32:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1952330927704838160',"でもたぶんそれがどっちでも

2人とも前に進む🚵

#いきづらい部",ja,Tweet,10,835,134,1,58407,2025-08-04 20:29:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1952330172968935697',"「次はいつ来る？」
ってじっと私の目を覗き込む
小さな弟の手を握りしめながら

残していく方と残される方の
どっちがつらいか考える

#いきづらい部",ja,Tweet,8,1095,178,3,43716,2025-08-04 20:26:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1952329417692450839',"歩いてみれば
沼津のあちこちに現れた
スクールアイドルの足跡

花火大会で流れてたあの歌も

#いきづらい部",ja,Tweet,77,3448,1031,9,159418,2025-08-04 20:23:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1952328662952317083',"本気でクライミングの選手になりたいなら
やっぱり東京じゃないとって思って
ずっとそっちにばかり目が行っていたから

なんの変哲もない地方都市だと思っていた沼津に
あんな歴史があったなんて知らなかったな

#いきづらい部",ja,Tweet,8,1089,210,2,55474,2025-08-04 20:20:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1952327907814027289',"帰省終了で東京帰着！

海風を身体に感じて
富士山を眺めて

沼津に帰って来たなって感じる日々だった🗻

#いきづらい部",ja,Tweet,10,1117,189,5,36698,2025-08-04 20:17:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1950082612812206322',"家でやらなきゃいけないことも一通り終わったから
明日は内浦の方に行ってみるつもり

とりあえず水族館かな？
ロープウェイだったら
弟も行きたがる気がする

#いきづらい部",ja,Tweet,57,2252,620,40,342166,2025-07-29 15:35:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1950081857921700097',"でもお互い楽しかったことは伝え合って🚵

離れた場所にいるのに
一緒にお祭りしたような気分なのが

ちょっとくすぐったい感じがして
やっぱり不思議🏔

#いきづらい部",ja,Tweet,6,909,135,3,36433,2025-07-29 15:32:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1950081103005663519',"週末のお祭りはやっぱりすごかった
花火も🎆

浅草にいる３人と動画見せ合ったけど
正直どっちもあんまりうまく撮れてなくて

笑っちゃった🌊

やっぱり人がたくさんいる大きなお祭りでの撮影は
大変だねって実感🏔
#いきづらい部",ja,Tweet,10,1318,213,2,53601,2025-07-29 15:29:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1948532901554933809',"スクールアイドルのことも
いろいろ調べてみる予定🚵

私はそういうのちょっと疎いから
誰かに聞いてみようかな？

#いきづらい部",ja,Tweet,19,1297,268,27,65391,2025-07-25 08:57:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1948532146345562147',"久しぶりの沼津の街はどんな風になってるか。。。
少しまだ４か月だし
あんまり変わってないかな？

それともやっぱり
どこか違った風に感じるのかな

離れて見て思うよ
早く海が見たい🌊

#いきづらい部",ja,Tweet,23,1878,350,12,84779,2025-07-25 08:54:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1948531391781626291',"きっと親に学校はどう？って聞かれたら

「いい感じ」
って答えると思う🚵

それって私にしては上出来

#いきづらい部",ja,Tweet,13,1055,169,3,63838,2025-07-25 08:51:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1948530636517769661',"こっちにきてから４か月弱だけど。。。

なんか思ったよりいろんなことがあったような🌊

でもやっぱり
思ったより楽しい学校生活になったなっていう気持ち🏔

#いきづらい部",ja,Tweet,6,855,109,1,30606,2025-07-25 08:48:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1948529882067075538',"今日から週末のお祭りに合わせて
沼津に久しぶりの帰省🚵

#いきづらい部",ja,Tweet,21,2093,537,28,83656,2025-07-25 08:45:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1945391451413586032',"だから私も７月はNGで
８月1週と4週は遠征予定🚵

それ以外だったら参加できます🌊

#いきづらい部",ja,Tweet,6,885,118,1,45356,2025-07-16 16:54:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1945390696535593267',"今回は夏だし
連れ出して一緒に海で遊ぶのもいいかもね！
小さな浮き輪をお土産に買って帰ろうかな🏔

真夏の沼津の浜辺🌊
思い出すと太陽の陽射しが懐かしくて
今すぐ走り出したくなる！！！

#いきづらい部",ja,Tweet,9,926,182,4,35682,2025-07-16 16:51:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1945389941447352489',"久しぶりの実家は
弟に会うのが楽しみ

まだだいぶ小さくて
すごくかわいいんだよ🏔

もう少し大きくなったら
自転車の乗り方を教えてあげたいと思ってる🚵

#いきづらい部",ja,Tweet,15,1254,260,8,125776,2025-07-16 16:48:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1945389186825249011',"花火大会もあるんだけどけっこうすごいんだよって言ったら
ポルカと花火が急に興味津々＆ちょっと張り合う顔になってたけど

残念～🚵

浅草の花火大会と同日なんだよね
当日お互い中継でもしよっか🌊

#いきづらい部",ja,Tweet,14,1184,244,5,44381,2025-07-16 16:45:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1945388431452069901',"夏休みが始まったらまずはいったん帰省する予定

7月の終わりには毎年沼津でお祭りがあるから
それに合わせて🏔

#いきづらい部",ja,Tweet,31,1754,463,22,82727,2025-07-16 16:42:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1943207059240943850',"あんまりいきづらい部も参加できないかも？
って思ったけど

よく考えたらオンラインだから
どこにいてもいいんだった🌊

自由だよね
こういうの好きだな！
#いきづらい部",ja,Tweet,9,1083,139,2,50896,2025-07-10 16:14:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1943206303763173543',"もうすぐ夏休みだけど
夏休みには遠征もあるだろうし
実家に帰ったりも多分するし

結構忙しくなりそうで🚵
#いきづらい部",ja,Tweet,5,751,105,5,30248,2025-07-10 16:11:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1943205549216272488',"でもこんな風にたくさんの人にお祝いしてもらったら
その分🏔

ちゃんと充実した1年にしなくちゃいけないな
っていう気持ちがわいてくるから

すごく力になるね🚵
#いきづらい部",ja,Tweet,6,938,114,2,30389,2025-07-10 16:08:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1943204794069401772',"みんな私のお誕生日を祝ってくれてありがとう🏔
なんかこういうのってあんまり慣れてなくて。。。

少し照れる🌊
#いきづらい部",ja,Tweet,12,1656,278,28,66773,2025-07-10 16:05:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1942157894729773066',大会予選通過できますように🏔#いきづらい部　#七夕,ja,Tweet,7,812,147,3,32344,2025-07-07 18:45:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#いきづらい部,#七夕",,,
'1939583682655739979',"ランやトレーニングの時に聞いたら気持ちいい
おススメの歌があったら教えてください
試してみる🏔
#いきづらい部",ja,Tweet,14,756,85,54,35390,2025-06-30 16:16:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1939582927421219314',"あとはわりとオススメで流れてくるのを素直に聞いちゃう方🏔
みんなと知り合ってからいろんな曲が出てくるようになって
ちょっとだけ驚いてる
世の中にはいろんな歌があるね🌊
#いきづらい部",ja,Tweet,5,705,75,0,30349,2025-06-30 16:13:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1939582172815372463',"シンプルで疾走感のある曲も好き
頭の中のノイズを全部消して
この世界にただ自分だけがいるような
グンッと加速するように集中する感じ🌊
#いきづらい部",ja,Tweet,8,751,100,3,38179,2025-06-30 16:10:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1939581417811583197',"練習のときとかけっこう音楽は聴く
あんまり歌詞が耳に残らないような
サラッとした曲が多いかな？
#いきづらい部",ja,Tweet,5,735,79,0,31858,2025-06-30 16:07:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1938168860907118647',"そういえば今日動画配信！
見てね～🏔
#いきづらい部",ja,Tweet,7,750,126,7,60345,2025-06-26 18:34:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1938168105575874573',"間違えて合格点取れなかったらやり直せばいいだけで🌊

分からなくても総当たり方式で繰り返せば
いつか絶対にゴールにたどり着くはず！

なかなか良い仕組みだと思う🚵
#いきづらい部",ja,Tweet,6,756,116,1,32097,2025-06-26 18:31:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1938167350512984522',"でもポルカって国語とかは普通にできて
苦手なのは算数。。。じゃなかった
数学だけだって言ってたから
あとは回数頑張ればいいんだと思うな
だって小テスト毎回三択選ぶだけだもん🏔
#いきづらい部",ja,Tweet,14,918,129,0,45296,2025-06-26 18:28:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1938166595169489150',"って言ったら
「でもそのテストが～！！！」って涙目で大騒ぎして
麻衣にチョコもらってたポルカ🌻

もしかしてそういう作戦だったりして🍫
だったらすごいけど！
#いきづらい部",ja,Tweet,9,830,122,0,32759,2025-06-26 18:25:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1938165840899084432',"L高の動画授業の小テストは
毎回全部の動画に必ずついているってわけじゃなくて
重要単元のみ🏔

クリアできなかった人用にまとめファイルもあるから
全部視聴し直しってことにはならないし
テストのところだけこれからやればいいよ🚵
#いきづらい部",ja,Tweet,4,745,106,0,28577,2025-06-26 18:22:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1935592886172594586',"自分たちにも何か本当にできるのかもしれないなって
今はまだまだ
だいぶポンコツ気味だけど🌊

今度実家に帰る時にはシーパラダイスの方も行ってみようかな🚵
何か参考にできること探してみたい  
#いきづらい部",ja,Tweet,17,1213,304,3,68678,2025-06-19 15:58:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1935592131285905428',"あんな風に実際にスクールアイドル活動をしたことで
入学者が増えて賑やかになった学校があるなんて
なんかワクワクするし
力もらえるよね💪✨
#いきづらい部",ja,Tweet,19,1117,298,0,70087,2025-06-19 15:55:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1935591376269484050',"最初に見つかったのがあんなみるからに優しそうな先生で良かったけど
警備員さんとかだったら結構怒られてたと思うな
私たち制服じゃないから
たぶんちょっと怪しさアップだったし🏔
#いきづらい部",ja,Tweet,10,932,192,0,52768,2025-06-19 15:52:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1935590621823283683',"噂話程度の情報だったのに
いきなりポルカが勝手にどんどん
学校の敷地内に入って行っちゃうから

あの時は結構焦った🌊
#いきづらい部",ja,Tweet,14,1102,220,1,66628,2025-06-19 15:49:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1935589866747658299',"チュン先生ってもしかして
4月に湯島の近くの学校で出会ったあの先生のこと？
名前全然違うし

たしかになんかチュンって言ってたけど🏔

あと出会ったっていうか
どっちかって言うと
見つかっちゃった！！
っていう状況だったけど🏔
#いきづらい部",ja,Tweet,93,2110,914,9,355888,2025-06-19 15:46:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1933083098675118286',"ダンスをやるようになって
最近いろんな曲を聴くようになった🌊
アイドルの曲とかあんまり聴いたことがなかったけど
すごくいい歌がいっぱいあるんだなって思った
スクールアイドルを始めるきっかけになったあの歌も🚵

もしおすすめの曲があったら教えてください！
#いきづらい部",ja,Tweet,10,1126,164,63,101627,2025-06-12 17:45:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1933082343675416951',"雨が降るとロードができなくて困るんだけど🚵
最近はその分いきづらい部の練習で
運動量を少しは補えてる。。。
といいんだけど
#いきづらい部",ja,Tweet,4,922,105,3,41528,2025-06-12 17:42:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
