tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1957304449237741716',"で！

ポルカお誕生日おめでとう！！
私よりお姉さん💻
頑張ってね
#いきづらい部",ja,Tweet,19,1552,321,6,47842,2025-08-18 13:52:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1957303694438936862',"なんか増えたなこれ…
そろそろ書記が必要かもね🐌

#いきづらい部",ja,Tweet,3,627,101,1,21384,2025-08-18 13:49:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1957302939434758493',"【その他今後の検討事項】
・声優科／調理室／環境科学部
→一応検討／担当のりこ奇跡真緑
・アイスの自販機欲しい
→取材中／担当ポルカ
・大阪アルバム作ろう
→担当ゆくり奇跡のりこ
#いきづらい部",ja,Tweet,11,790,146,1,33508,2025-08-18 13:46:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1957302184426737823',"【現在継続中の項目】
・歌ってみた
→曲目決定
・制服欲しい
→引き続き募集中／担当翔音・輝夜
・歌合戦してみたい
→文化祭にジョイント
#いきづらい部",ja,Tweet,9,955,170,0,37691,2025-08-18 13:43:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1957301429460201890',"【いきづらい部２０２５年第３回総会㏌大阪】
・リアルで集まる＆路上ライブ
→祝🏅達成！／次回予定募集中
・次の大目標＝文化祭に決定
→リアル開催希望で全員一致
場所候補第一東京・第二仙台
校舎でやる？場所を借りる？ライブハウス？
📣予算が重要／各自どうしたいか考えておく
#いきづらい部",ja,Tweet,19,1071,250,4,48062,2025-08-18 13:40:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1957300674623852652',"正直疲れた！！
新幹線は寝る🐌

その前に議事録更新💻
#いきづらい部",ja,Tweet,5,810,119,3,25388,2025-08-18 13:37:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1955454006425424083',"うーん全然違うような気もするけど…
やっぱりおやつの金額制限もしおりに入れておくべきだったかなぁあああ💻
#いきづらい部",ja,Tweet,5,760,123,1,41984,2025-08-13 11:19:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1955453251492426057',"明らかにポルカが新幹線の車内でじゃがりこを食べ過ぎてる気がする
もしかしてこれも緊張の一種？
だったら止めない方がいい？
#いきづらい部",ja,Tweet,21,1294,229,3,81790,2025-08-13 11:16:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1955452496693829761',"大阪に着いたらできることは全部やっておきたいし！

いくらオンラインで何度もやり取りしてるって言っても
初めての人と会うのは緊張するから…
昨日はそれをちょっと紛らわすためにやってたとか…
そんなこと絶対言わない💻
#いきづらい部",ja,Tweet,9,805,134,1,31068,2025-08-13 11:13:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1955451741970768315',"我が家はこれが普通なの！
家族が多いし
旅行は時間ミスったら終わりじゃない💩
#いきづらい部",ja,Tweet,11,746,129,5,52184,2025-08-13 11:10:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
