tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1955956316763254811',"見てくれてありがとう
みんな愛してるよ❤
#いきづらい部",ja,Tweet,13,1341,232,11,44549,2025-08-14 20:35:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1955955561553391754',"明日も頑張る
頑張ろうって思える自分が
不思議で
#いきづらい部",ja,Tweet,5,1108,183,2,36973,2025-08-14 20:32:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1955954806511821278',"ダメだ
泣いちゃって
今晩知恵熱が出ないようにしなきゃ
みんなに迷惑かけたくない
#いきづらい部",ja,Tweet,15,1603,217,2,87543,2025-08-14 20:29:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1955954051339969009',"きっとキミにも
#いきづらい部",ja,Tweet,6,947,164,0,32377,2025-08-14 20:26:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1955953296377618935',"こんなボクの人生にもいいことがあるなら
#いきづらい部",ja,Tweet,8,1102,186,2,38891,2025-08-14 20:23:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1955952541663158617',"憧れのあの人にはまだまだ遥か
足元にも及ばないけれど

ほんの、ほんの少しだけ
近づけたかもしれないと思えた日
#いきづらい部",ja,Tweet,35,2147,501,6,82140,2025-08-14 20:20:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1955951786486812885',"動き出せば世界は変わるって
#いきづらい部",ja,Tweet,9,1116,235,4,40213,2025-08-14 20:17:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1955951031671476445',"生きてればいいこともあるとか
そういう言葉が嫌いだったけど
#いきづらい部",ja,Tweet,13,1605,256,4,74591,2025-08-14 20:14:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1955950276554178702',"ボクは完全にキャパオーバー
#いきづらい部",ja,Tweet,6,1078,179,0,45909,2025-08-14 20:11:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1955949521617478051',"怒涛過ぎる１日
#いきづらい部",ja,Tweet,9,1498,286,12,57923,2025-08-14 20:08:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1953101258077946090',"こういう計画立てるのって
慣れてないから緊張する

みんな大好きだよ❤
#いきづらい部",ja,Tweet,5,1039,166,15,64725,2025-08-06 23:30:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1953100499076694459',"電車もバスもダメなら
やっぱりアレしかないか…
#いきづらい部",ja,Tweet,17,1275,298,34,151321,2025-08-06 23:27:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1953099744638583181',"だって絶対行きたいんだもん
こんな気持ちは生まれて初めてだから
#いきづらい部",ja,Tweet,10,1244,184,3,87405,2025-08-06 23:24:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1953098990662369343',"でもここで文句言ったら
そもそも1人旅はNGとか言われそうだから
がまん
#いきづらい部",ja,Tweet,7,981,167,2,62176,2025-08-06 23:21:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
